sg_distribution,sg_cardinality,sg_rule,best_rule,best_rule_idx,f1,precision,recall,seed
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,0
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,0
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionZpaq >= 1.0  AND  level >= 8.0,2.0,0.0571428571428571,0.125,0.037037037037037,0
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionLrzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,0
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= unlimitedWindowSize < 1.0  AND  2.0 <= level < 3.0  AND  0.0 <= compressionLrzip < 1.0  AND  0.0 <= compressionGzip < 1.0,0.0,0.0,0.0,0.0,0
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,10
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,10
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionZpaq < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,10
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0,4.0,1.0,1.0,1.0,10
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionLrzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,10
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  level >= 2.0,0.0,0.9411764705882352,1.0,0.8888888888888888,11
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,11
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,1.0,1.0,1.0,1.0,11
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,2.0,1.0,1.0,1.0,11
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  3.5 <= level < 9.0,3.0,0.7142857142857143,1.0,0.5555555555555556,11
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,2.0,1.0,1.0,1.0,12
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,1.0,1.0,1.0,1.0,12
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,4.0,1.0,1.0,1.0,12
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= compressionLrzip < 1.0  AND  disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,12
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  compression >= 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,12
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,1.0,1.0,1.0,1.0,13
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,5.0 <= level < 6.0  AND  0.0 <= unlimitedWindowSize < 1.0,0.0,0.0,0.0,0.0,13
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,13
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= compressionGzip < 1.0  AND  6.0 <= level < 8.0  AND  0.0 <= compressionBzip2 < 1.0  AND  0.0 <= compressionLrzip < 1.0,3.0,0.1176470588235294,0.125,0.1111111111111111,13
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionGzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,13
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionBzip2 < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,14
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,14
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,14
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  level < 5.0  AND  unlimitedWindowSize >= 1.0,3.0,0.6153846153846153,1.0,0.4444444444444444,14
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionGzip < 1.0,3.0,0.9090909090909092,1.0,0.8333333333333334,14
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,15
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,15
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,15
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,3.0,1.0,1.0,1.0,15
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  3.5 <= level < 6.0,0.0,0.3636363636363636,1.0,0.2222222222222222,15
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,16
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionLzo < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,16
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,2.0,1.0,1.0,1.0,16
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionGzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,16
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  3.5 <= level < 8.0,2.0,0.6153846153846153,1.0,0.4444444444444444,16
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  level >= 3.0,0.0,0.8750000000000001,1.0,0.7777777777777778,17
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0,1.0,1.0,1.0,1.0,17
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,17
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0,2.0,1.0,1.0,1.0,17
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,2.0 <= level < 4.0  AND  0.0 <= unlimitedWindowSize < 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,0.0,0.0,0.0,17
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,18
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionBzip2 < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,18
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  level < 8.0,1.0,0.8750000000000001,1.0,0.7777777777777778,18
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,1.0,1.0,1.0,1.0,18
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionGzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,18
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,19
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0,2.0,1.0,1.0,1.0,19
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,4.0,1.0,1.0,1.0,19
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionBzip2 >= 1.0  AND  disableCompressibilityTesting >= 1.0,2.0,0.2,0.25,0.1666666666666666,19
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  level < 2.0  AND  0.0 <= compressionLrzip < 1.0  AND  0.0 <= compressionLzo < 1.0,2.0,0.1142857142857142,0.25,0.074074074074074,19
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  4.0 <= level < 6.0  AND  0.0 <= disableCompressibilityTesting < 1.0  AND  0.0 <= compressionLrzip < 1.0,0.0,0.0,0.0,0.0,1
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= disableCompressibilityTesting < 1.0  AND  level >= 9.0  AND  0.0 <= compressionZpaq < 1.0,0.0,0.0,0.0,0.0,1
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= encryption < 1.0  AND  8.0 <= level < 9.0  AND  disableCompressibilityTesting >= 1.0,0.0,0.0,0.0,0.0,1
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= encryption < 1.0  AND  level >= 9.0  AND  0.0 <= compressionZpaq < 1.0,0.0,0.0,0.0,0.0,1
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  level >= 7.0  AND  disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0,0.0,0.5,1.0,0.3333333333333333,1
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionLzo < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,20
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionGzip < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,20
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionZpaq >= 1.0  AND  2.0 <= level < 5.0,2.0,0.0769230769230769,0.125,0.0555555555555555,20
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionBzip2 >= 1.0  AND  3.0 <= level < 6.5,1.0,0.0930232558139534,0.125,0.074074074074074,20
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionGzip < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,20
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,4.0,1.0,1.0,1.0,21
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,2.0,1.0,1.0,1.0,21
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,21
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionLzo < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,21
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  6.0 <= level < 9.0,3.0,0.5,1.0,0.3333333333333333,21
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0,1.0,1.0,1.0,1.0,22
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,3.0,1.0,1.0,1.0,22
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,22
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionLzo < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,22
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  3.0 <= level < 5.0,0.0,0.3636363636363636,1.0,0.2222222222222222,22
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,23
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,3.0,1.0,1.0,1.0,23
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,1.0,1.0,1.0,1.0,23
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,1.0,1.0,1.0,1.0,23
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionGzip < 1.0  AND  unlimitedWindowSize >= 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,23
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,24
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= disableCompressibilityTesting < 1.0  AND  5.0 <= level < 7.0  AND  0.0 <= compressionBzip2 < 1.0  AND  0.0 <= compressionLrzip < 1.0,0.0,0.0,0.0,0.0,24
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionBzip2 < 1.0  AND  disableCompressibilityTesting >= 1.0,3.0,0.9090909090909092,1.0,0.8333333333333334,24
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,3.0,1.0,1.0,1.0,24
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  3.5 <= level < 8.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,1.0,0.6153846153846153,1.0,0.4444444444444444,24
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0,0.0,1.0,1.0,1.0,25
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  0.0 <= compressionGzip < 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,25
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,4.0,1.0,1.0,1.0,25
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  0.0 <= compressionLzo < 1.0  AND  encryption >= 1.0,3.0,0.9090909090909092,1.0,0.8333333333333334,25
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= compressionGzip < 1.0  AND  3.5 <= level < 5.0  AND  0.0 <= compressionBzip2 < 1.0,3.0,0.0930232558139534,0.125,0.074074074074074,25
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,26
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  0.0 <= compressionGzip < 1.0,0.0,0.9090909090909092,1.0,0.8333333333333334,26
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,2.0,1.0,1.0,1.0,26
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,3.0,1.0,1.0,1.0,26
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  compression >= 1.0,1.0,0.9090909090909092,1.0,0.8333333333333334,26
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,27
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  level < 9.0,3.0,0.9411764705882352,1.0,0.8888888888888888,27
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,0.0 <= disableCompressibilityTesting < 1.0  AND  2.0 <= level < 3.0  AND  0.0 <= compressionLrzip < 1.0,0.0,0.0,0.0,0.0,27
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionLrzip >= 1.0  AND  0.0 <= disableCompressibilityTesting < 1.0  AND  level >= 5.0,0.0,0.0,0.0,0.0,27
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  disableCompressibilityTesting >= 1.0  AND  level < 6.0,0.0,0.7142857142857143,1.0,0.5555555555555556,27
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,28
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,28
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,encryption >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  disableCompressibilityTesting >= 1.0,0.0,1.0,1.0,1.0,28
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,28
power_law,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0  AND  level >= 2.0,4.0,0.9411764705882352,1.0,0.8888888888888888,28
normal,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  encryption >= 1.0  AND  unlimitedWindowSize >= 1.0,0.0,1.0,1.0,1.0,29
uniform,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,1.0,1.0,1.0,1.0,29
bi_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,compressionLzo >= 1.0  AND  3.0 <= level < 6.0,0.0,0.0769230769230769,0.125,0.0555555555555555,29
tri_modal_split,54,disableCompressibilityTesting = 1 AND encryption = 1 AND unlimitedWindowSize = 1,disableCompressibilityTesting >= 1.0  AND  unlimitedWindowSize >= 1.0  AND  encryption >= 1.0,3.0,1.0,1.0,1.0,29
